Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Afghanistan,1971,,,,,
Albania,1971,0.79,1.41,0.72,0.97,
Algeria,1971,3.06,1.42,2.63,1.8,
Angola,1971,0.22,0.31,1.02,0.12,
Antigua & Barbuda,1971,,,,,
Argentina,1971,29.1,16.72,23.88,13.07,
Armenia,1971,,,,,
Australia,1971,53.09,47.19,33.03,10.82,
Austria,1971,11.74,13.55,9.79,13.63,
Azerbaijan,1971,,,,,
Bahamas,1971,,,,,
Bahrain,1971,2.36,0.42,0.18,0.05,
Bangladesh,1971,0.8,1.27,0.25,0.87,
Barbados,1971,,,,,
Belarus,1971,,,,,
Belgium,1971,31.45,41.07,11.71,32.61,
Belize,1971,,,,,
Benin,1971,0,0.01,0.25,0.04,
Bhutan,1971,,,,,
Bolivia,1971,0.39,0.45,0.97,0.37,
Bosnia & Herzegovina,1971,1.939749781,5.289490436,1.684323492,2.231586212,
Botswana,1971,,,,,
Brazil,1971,12.62,27.83,41.95,7.85,
Brunei,1971,0.23,0.07,0.08,0.02,
Bulgaria,1971,21.68,10.64,5.11,25.41,
Burkina Faso,1971,,,,,
Burundi,1971,,,,,
Cambodia,1971,,,,,
Cameroon,1971,0.03,0.08,0.56,0.06,
Canada,1971,79.48,78.96,83.4,97.73,
Cape Verde,1971,,,,,
Central African Republic,1971,,,,,
Chad,1971,,,,,
Chile,1971,6.25,6.01,5.96,2.62,
China,1971,133.25,420.76,46.8,214.75,
Colombia,1971,6.2,8.68,6.69,5.11,
Comoros,1971,,,,,
Congo,1971,0.04,0.15,0.34,0.04,
"Congo, Dem. Republic",1971,0.07,0.98,0.41,1.06,
Cook Islands,1971,,,,,
Costa Rica,1971,0.18,0.33,0.67,0.08,
Cote d'Ivoire,1971,0.54,0.7,0.87,0.28,
Croatia,1971,2.679408245,5.975665394,3.715572742,1.609247051,
Cuba,1971,4.49,8.73,4.11,3.07,
Cyprus,1971,0.63,0.44,0.59,0.11,
Czech Republic,1971,36.12,68.36,5.66,40.81,
Denmark,1971,14.81,9.92,7.38,22.91,
Djibouti,1971,,,,,
Dominica,1971,,,,,
Dominican Republic,1971,1.2,0.66,1.4,0.19,
