Country,Year, Population (People), GDP-PPP (Million Intl$ (2005)), GDP-USD (Million US$ (2005)), Energy Use (Thous. tonnes oil eq. (ktoe))
Afghanistan,1960,8774440,,,
Albania,1960,1618829,,,
Algeria,1960,11277757,,19911.94812,
Angola,1960,4965988,,,
Antigua & Barbuda,1960,54681,,,
Argentina,1960,20623998,,63272.61434,
Armenia,1960,1867396,,,
Australia,1960,10276477,,137427.3916,31482.545
Austria,1960,7047539,,76547.9505,10897.338
Azerbaijan,1960,3897889,,,
Bahamas,1960,109526,,1465.555337,
Bahrain,1960,162501,,,
Bangladesh,1960,49537147,,12535.24871,
Barbados,1960,230858,,1130.125934,
Belarus,1960,8198000,,,
Belgium,1960,9153489,,102243.6864,23059.094
Belize,1960,92068,,89.09694928,
Benin,1960,2431620,,955.3531812,
Bhutan,1960,224155,,,
Bolivia,1960,3353125,,2931.591077,
Bosnia & Herzegovina,1960,3305501,,,
Botswana,1960,524173,,199.0042926,
Brazil,1960,72775883,,125652.3905,
Brunei,1960,81817,,,
Bulgaria,1960,7867374,,,
Burkina Faso,1960,4829291,,910.098557,
Burundi,1960,2786740,,409.6670702,
Cambodia,1960,5720019,,,
Cameroon,1960,5361367,,3778.539607,
Canada,1960,17909009,,231588.8665,76139.004
Cape Verde,1960,212247,,,
Central African Republic,1960,1503501,,721.2297221,
Chad,1960,3002596,,1652.147604,
Chile,1960,7649026,,18963.35163,
China,1960,667070000,,83178.38696,
Colombia,1960,16006395,,23242.41121,
Comoros,1960,190475,,,
Congo,1960,1013581,,969.9671773,
"Congo, Dem. Republic",1960,15248246,,6769.723689,
Cook Islands,1960,,,,
Costa Rica,1960,1334044,,2457.830671,
Cote d'Ivoire,1960,3474724,,3147.474547,
Croatia,1960,4140000,,,
Cuba,1960,7141130,,,
Cyprus,1960,572929,,,
Czech Republic,1960,9602006,,,
Denmark,1960,4579603,,78889.95701,8806.456
Djibouti,1960,83636,,,
Dominica,1960,60016,,,
Dominican Republic,1960,3311788,,3594.124891,
Ecuador,1960,4514593,,7192.460807,
Egypt,1960,27997745,,9069.473731,
El Salvador,1960,2772970,,,
Equatorial Guinea,1960,252115,,,
Eritrea,1960,1404810,,,
Estonia,1960,1215650,,,
Ethiopia,1960,22151218,,,
Fiji,1960,393383,,692.1892892,
Finland,1960,4429634,,45687.55294,9731.698
France,1960,46647521,,520325.2663,79221.93
Gabon,1960,498823,,1392.173996,
Gambia,1960,367929,,,
Georgia,1960,3645600,,,
Germany,1960,72814900,,,142173.561
Ghana,1960,6652516,,3203.942162,
Greece,1960,8331725,,44655.0447,2408.344
Grenada,1960,89861,,,
Guatemala,1960,4140636,,4847.547518,
Guinea,1960,3576684,,,
Guinea-Bissau,1960,635956,,,
Guyana,1960,560296,,431.1766849,
Haiti,1960,3869288,,,
Honduras,1960,2002333,,1628.721727,
Hungary,1960,9983967,,20338.04104,
Iceland,1960,175574,,2696.572652,541.244
India,1960,449595489,,102659.8545,
Indonesia,1960,88692697,,25368.84564,
Iran,1960,21958460,,,
Iraq,1960,7289759,,,
Ireland,1960,2828600,,,3730.393
Israel,1960,2114020,,11919.76821,
Italy,1960,50199700,,452269.6789,39899.754
Jamaica,1960,1629003,,,
Japan,1960,92500572,,654852.1801,80837.204
Jordan,1960,844000,,,
Kazakhstan,1960,9995997,,,
Kenya,1960,8105440,,2610.78608,
Kiribati,1960,32970,,,
Korea (North),1960,11424179,,,
Korea (South),1960,25012374,,36786.16304,
Kuwait,1960,261994,,,
Kyrgyzstan,1960,2172300,,,
Laos,1960,2119731,,,
Latvia,1960,2120979,,,
Lebanon,1960,1804927,,,
Lesotho,1960,851412,,168.0550181,
Liberia,1960,1120314,,618.4852852,
Libya,1960,1428435,,,
Lithuania,1960,2778550,,,
Luxembourg,1960,313970,,6704.84371,3304.034
"Macedonia, FYR",1960,1471139,,,
Madagascar,1960,5099371,,2424.400469,
Malawi,1960,3525127,,499.7691286,
Malaysia,1960,8160975,,8050.617387,
Maldives,1960,88960,,,
Mali,1960,5098942,,,
Malta,1960,326550,,,
Mauritania,1960,858316,,430.0184868,
Mauritius,1960,659351,,,
Mexico,1960,38676974,,128166.2706,
Moldova,1960,2544000,,,
Mongolia,1960,955508,,,
Montenegro,1960,479099,,,
Morocco,1960,12328534,,,
Mozambique,1960,7647284,,,
Myanmar,1960,21486424,,,
Namibia,1960,602545,,,
Nauru,1960,,,,
Nepal,1960,9544938,,1696.795926,
Netherlands,1960,11486631,,152734.3239,20971.548
New Zealand,1960,2371800,,,4107.036
Nicaragua,1960,1774574,,2229.504317,
Niger,1960,3337141,,1589.721887,
Nigeria,1960,45211614,,25282.08967,
Niue,1960,,,,
Norway,1960,3581239,,62069.68529,6826.468
Oman,1960,551737,,704.940592,
Pakistan,1960,45540594,,9990.157365,
Palau,1960,9638,,,
Panama,1960,1136090,,2080.117513,
Papua New Guinea,1960,1966957,,1074.726139,
Paraguay,1960,1907041,,1086.084132,
Peru,1960,9931518,,19843.96905,
Philippines,1960,26271731,,18285.55857,
Poland,1960,29637450,,,54176.536
Portugal,1960,8857716,,32929.513,2984.285
Qatar,1960,47316,,,
Romania,1960,18406905,,,
Russian Federation,1960,119897000,,,
Rwanda,1960,2933424,,635.637342,
Saint Kitts & Nevis,1960,51197,,,
Saint Lucia,1960,89901,,,
Saint Vincent & Grenadines,1960,80948,,122.7906544,
