Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
3M ,Industrials ,AQ ,AQ ,76,C ,,6250000,4300000,1950000,-,,,,,
A.P. Moller -Maersk ,Industrials ,AQ ,AQ ,74,C ,,39076000,38516000,560000,,,,,,
ABB ,Industrials ,AQ ,AQ ,72,C ,,1469000,714000,755000,645000,Tr,,,,
Abbott Laboratories ,Health Care ,AQ ,AQ ,72,C ,,1609000,838000,771000,1338000,TI Wa Tr EC Ld ,,,,
Accenture ,Information Technology ,AQ ,AQ ,93,B ,,212599,14270,198329,366942,Tr ,,,,
Ace Ltd ,Financials ,AQ ,AQ ,82,B ,,56406,14741,41665,10213,Tr ,,,,
Aflac ,Financials ,AQ ,AQ ,66,E ,,27721,4352,23369,-,,,,,
Air Liquide ,Materials ,AQ ,AQ ,87,B ,,19475000,10181000,9294000,-,Oth ,,,,
Air Products & Chemicals ,Materials ,AQ ,AQ ,92,A ,,23691275,14366791,9324484,97169,Tr TSP ,,,,
Akbank ,Financials ,AQ ,AQ ,72,C ,NP ,-,-,-,-,-,,,,
Alcon ,Health Care ,DP ,DP ,-,-,,-,-,-,-,,,,,
Allergan ,Health Care ,AQ ,AQ ,83,B ,,95299,42674,52625,15296,TI Tr ,,,,
Allianz ,Financials ,AQ ,AQ ,92,A-,,339817,41496,298321,171087,PGS Wa Tr Oth ,,,,
Allstate ,Financials ,AQ ,AQ ,89,C ,,218978,35504,183474,33543,Tr Oth,,,,
Altria Group ,Consumer Staples ,AQ ,AQ ,67,C ,,524631,273437,251194,41799,PGS Tr,,,,
Amazon.com ,Consumer Discretionary ,NR ,DP ,-,-,,-,-,-,-,,,,,
Ambev - Cia. Bebidas das Americas ,Consumer Staples ,AQ ,AQ ,69,C ,,1048442,865202,183240,29886,PGS,,,,
América Móvil ,,NR ,NR ,-,-,,-,-,-,-,,,,,
American Electric Power ,Utilities ,AQ ,AQ ,75,C ,,138294800,138294800,-,1634883,PGS Fu TI Tr,,,,
American Express ,Financials ,AQ ,AQ ,80,C ,,221850.56,32504.01,189346.55,38143,Tr ,,,,
American Tower ,,AQ ,AQ ,63,C ,,144379.34,5819.79,138559.55,8953.97,Tr EC,,,,
Amgen ,Health Care ,AQ ,AQ ,66,E ,,430983,136986,293997,36340,Tr,,,,
Anadarko Petroleum ,Energy ,AQ ,AQ ,75,B ,,8770874,7872285,898589,-,,,,,
Anglo American ,Materials ,AQ ,AQ ,81,C ,,19999891,9809076,10190815,177645320,Tr USP,,,,
Anglo Platinum ,Materials ,AQ ,AQ ,85,B ,,5611738,457336,5154402,466194.51,PGS TI Wa Tr EC TSP USP DSP ,,,,
AngloGold Ashanti ,Materials ,AQ ,AQ ,74,C ,,4697000,1215000,3482000,-,,,,,
Anheuser Busch InBev ,Consumer Staples ,AQ ,AQ ,77,B ,,4353161,2901360,1451801,12283,TI Tr,,,,
Antofagasta ,Materials ,AQ ,AQ ,59,E ,,1294371,529560,764811,47373,Fu Tr Oth,,,,
Apache ,Energy ,AQ ,AQ ,65,D ,,10900000,9860000,1040000,-,,,,,
