Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Industrials,AQ,AQ,,72,645000,755000,ABB,,C,1469000,Tr,714000
Health Care,AQ,AQ,,72,1338000,771000,Abbott Laboratories,,C,1609000,TI Wa Tr EC Ld,838000
Information Technology,AQ,AQ,,93,366942,198329,Accenture,,B,212599,Tr,14270
Financials,AQ,AQ,,82,10213,41665,Ace,,B,56406,Tr,14741
Materials,AQ,AQ,,92,97169,9324484,APD,,A,23691275,Tr TSP,14366791
Health Care,AQ,AQ,,83,15296,52625,Allergan,,B,95299,TI Tr,42674
Financials,AQ,AQ,,92,171087,298321,Allianz,,A-,339817,PGS Wa Tr Oth,41496
Financials,AQ,AQ,,89,33543,183474,Allstate,,C,218978,Tr Oth,35504
Consumer Staples,AQ,AQ,,67,41799,251194,Altria Group,,C,524631,PGS Tr,273437
Consumer Staples,AQ,AQ,,69,29886,183240,Ambev,,C,1048442,PGS,865202
Financials,AQ,AQ,,80,38143,189346.55,American Express,,C,221850.56,Tr,32504.01
,AQ,AQ,,63,8953.97,138559.55,American Tower,,C,144379.34,Tr EC,5819.79
Health Care,AQ,AQ,,66,36340,293997,Amgen,,E,430983,Tr,136986
Materials,AQ,AQ,,81,177645320,10190815,Anglo American,,C,19999891,Tr USP,9809076
Materials,AQ,AQ,,85,466194.51,5154402,Anglo Platinum,,B,5611738,PGS TI Wa Tr EC TSP USP DSP,457336
Consumer Staples,AQ,AQ,,77,12283,1451801,Anheuser-Busch InBev,,B,4353161,TI Tr,2901360
Materials,AQ,AQ,,59,47373,764811,Antofagasta,,E,1294371,Fu Tr Oth,529560
Financials,AQ,AQ,,68,29090.3,53239.3,Assicurazioni Generali Spa,,C,65745.5,Tr Oth,12506.2
Health Care,AQ,AQ,,60,1999.84,768341.4,Astellas Pharma,,D,1225638.27,TI,457296.87
Health Care,AQ,AQ,,68,365716,294181,AstraZeneca,,C,679391,PGS TI Wa Tr USP,385210
,AQ,AQ,,72,63209,7798222,AT&T,,C,8903473,Tr,1105251
Industrials,AQ,AQ,,72,202000,91000,Atlas Copco,,C,116000,TI,25000
Financials,AQ,AQ,,89,101090,202299,Australia and New Zealand Banking Group,,B,220577,PGS Fu Wa Tr,18278
Financials,AQ,AQ,,80,15839.7,68628,Aviva,,B,132412,Tr EC,63784
Financials,AQ,AQ,,92,214266,177147,AXA Group,,A,245701,Tr EC,68554
Energy,AQ,AQ,,67,116600,300000,Baker Hughes,,D,600000,Tr,300000
Financials,AQ,AQ,,47,24216,20321,Banco Bradesco,,-,24875,EC Oth,4554
Financials,AQ,AQ,,54,8869,29767,Banco do Brasil,,E,35838,Tr Oth,6071
Financials,AQ,AQ,,85,128666.05,423560,Banco Santander,,C,453442.19,Tr EC,29882.19
Financials,AQ,IN,,67,94744,14020,Banco Santander Brasil,,D,19561,PGS TI Wa Tr SE,5541
Financials,AQ,AQ,,97,1052130,1752453,Bank of America,,A,1872213,TI Wa Tr EC,119760
Financials,AQ,AQ,,88,92796.19,48362.21,Bank of Montreal,,A,64907.87,Wa Tr Lu TSP,16545.66
Financials,AQ,AQ,,54,3075,68802,Bank of Nova Scotia,,D,86362,Tr,17560
Financials,AQ,AQ,,89,110000,936000,Barclays,,B,993000,Tr,57000
Materials,AQ,AQ,,93,134289000,4389000,BASF,,A,25701000,PGS Eq Fu TI Wa Tr EC Lu In TSP USP DSP,21312000
Health Care,AQ,AQ,,74,2144000,461280,Baxter,,C,801000,Tr EC TSP USP DSP SE,339720
